Department Name;Strategic Goal;Measure Title;Measure Description;Measure Methodology;Measure Data Type;Fiscal Year;End Calendar Year;Target;Mid-Year Result;Mid-Year Projection;Full-Year Result;Data Notes
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Average daily attendance of DCYF-funded comprehensive afterschool programs for youth in grades K-8;This measure provides an estimate of the number of youth who are regularly attending DCYF-funded comprehensive afterschool programs for youth in grades K-8.;"Source of data is the DCYF Contract Management System. ""DCYF-funded comprehensive afterschool programs for youth in grades K-8"" are programs that DCYF funds under its Out of School Time service area that offer afterschool programming to youth in grades K-8. Average daily attendance is the number of daily present attendance records divided by the number weekdays where at least one present attendance was recorded for activities that take place during the school year.";Numeric;FY2021-22;2022;11000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Average daily attendance of DCYF-funded comprehensive afterschool programs for youth in grades K-8;This measure provides an estimate of the number of youth who are regularly attending DCYF-funded comprehensive afterschool programs for youth in grades K-8.;"Source of data is the DCYF Contract Management System. ""DCYF-funded comprehensive afterschool programs for youth in grades K-8"" are programs that DCYF funds under its Out of School Time service area that offer afterschool programming to youth in grades K-8. Average daily attendance is the number of daily present attendance records divided by the number weekdays where at least one present attendance was recorded for activities that take place during the school year.";Numeric;FY2022-23;2023;11000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Average daily attendance of DCYF-funded summer programs for youth in grades K-8;This measure provides an estimate of the number of youth who are regularly attending DCYF-funded summer programs for youth in grades K-8.;"Source of data is the DCYF Contract Management System. ""DCYF-funded summer programs for youth in grades K-8"" are programs that DCYF funds under its Out of School Time service area that offer summer programming to youth in grades K-8. Average daily attendance is the number of daily present attendance records divided by the number weekdays where at least one present attendance was recorded for activities that take place during the summer.";Numeric;FY2017-18;2018;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Average daily attendance of DCYF-funded summer programs for youth in grades K-8;This measure provides an estimate of the number of youth who are regularly attending DCYF-funded summer programs for youth in grades K-8.;"Source of data is the DCYF Contract Management System. ""DCYF-funded summer programs for youth in grades K-8"" are programs that DCYF funds under its Out of School Time service area that offer summer programming to youth in grades K-8. Average daily attendance is the number of daily present attendance records divided by the number weekdays where at least one present attendance was recorded for activities that take place during the summer.";Numeric;FY2018-19;2019;5300;;;5512;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Average daily attendance of DCYF-funded summer programs for youth in grades K-8;This measure provides an estimate of the number of youth who are regularly attending DCYF-funded summer programs for youth in grades K-8.;"Source of data is the DCYF Contract Management System. ""DCYF-funded summer programs for youth in grades K-8"" are programs that DCYF funds under its Out of School Time service area that offer summer programming to youth in grades K-8. Average daily attendance is the number of daily present attendance records divided by the number weekdays where at least one present attendance was recorded for activities that take place during the summer.";Numeric;FY2019-20;2020;9000;6834;9000;6935;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Average daily attendance of DCYF-funded summer programs for youth in grades K-8;This measure provides an estimate of the number of youth who are regularly attending DCYF-funded summer programs for youth in grades K-8.;"Source of data is the DCYF Contract Management System. ""DCYF-funded summer programs for youth in grades K-8"" are programs that DCYF funds under its Out of School Time service area that offer summer programming to youth in grades K-8. Average daily attendance is the number of daily present attendance records divided by the number weekdays where at least one present attendance was recorded for activities that take place during the summer.";Numeric;FY2020-21;2021;9000;;;;This measure is N/A for the most recent reporting period because the grantees shifted the delivery of services as part of their response to COVID-19. For example, many shifted to implement Community Hubs in place of operating afterschool programs. As a result, it is not possible to show a deduplicated count of participants for several measures, but services were provided in online, virtual, and other alternative formats to reach target audiences.
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Average daily attendance of DCYF-funded summer programs for youth in grades K-8;This measure provides an estimate of the number of youth who are regularly attending DCYF-funded summer programs for youth in grades K-8.;"Source of data is the DCYF Contract Management System. ""DCYF-funded summer programs for youth in grades K-8"" are programs that DCYF funds under its Out of School Time service area that offer summer programming to youth in grades K-8. Average daily attendance is the number of daily present attendance records divided by the number weekdays where at least one present attendance was recorded for activities that take place during the summer.";Numeric;FY2021-22;2022;9000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Average daily attendance of DCYF-funded summer programs for youth in grades K-8;This measure provides an estimate of the number of youth who are regularly attending DCYF-funded summer programs for youth in grades K-8.;"Source of data is the DCYF Contract Management System. ""DCYF-funded summer programs for youth in grades K-8"" are programs that DCYF funds under its Out of School Time service area that offer summer programming to youth in grades K-8. Average daily attendance is the number of daily present attendance records divided by the number weekdays where at least one present attendance was recorded for activities that take place during the summer.";Numeric;FY2022-23;2023;9000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of children and youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of children and youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of children and youth who participated in a DCYF-funded program for at least one day.;Numeric;FY2017-18;2018;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of children and youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of children and youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of children and youth who participated in a DCYF-funded program for at least one day.;Numeric;FY2018-19;2019;45000;0;;41622;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of children and youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of children and youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of children and youth who participated in a DCYF-funded program for at least one day.;Numeric;FY2019-20;2020;45000;;;41919;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of children and youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of children and youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of children and youth who participated in a DCYF-funded program for at least one day.;Numeric;FY2020-21;2021;45000;;25000;37682;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of children and youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of children and youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of children and youth who participated in a DCYF-funded program for at least one day.;Numeric;FY2021-22;2022;45000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of children and youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of children and youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of children and youth who participated in a DCYF-funded program for at least one day.;Numeric;FY2022-23;2023;45000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of disconnected transitional age youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of disconnected transitional age youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of participants ages 18+ who participated in a DCYF-funded program for disconnected transitional age youth for at least one day. Participant ages are calculated as of the first date of participation.;Numeric;FY2017-18;2018;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of disconnected transitional age youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of disconnected transitional age youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of participants ages 18+ who participated in a DCYF-funded program for disconnected transitional age youth for at least one day. Participant ages are calculated as of the first date of participation.;Numeric;FY2018-19;2019;1900;0;;1904;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of disconnected transitional age youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of disconnected transitional age youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of participants ages 18+ who participated in a DCYF-funded program for disconnected transitional age youth for at least one day. Participant ages are calculated as of the first date of participation.;Numeric;FY2019-20;2020;1900;;;1629;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of disconnected transitional age youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of disconnected transitional age youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of participants ages 18+ who participated in a DCYF-funded program for disconnected transitional age youth for at least one day. Participant ages are calculated as of the first date of participation.;Numeric;FY2020-21;2021;1900;;900;1520;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of disconnected transitional age youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of disconnected transitional age youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of participants ages 18+ who participated in a DCYF-funded program for disconnected transitional age youth for at least one day. Participant ages are calculated as of the first date of participation.;Numeric;FY2021-22;2022;1900;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of disconnected transitional age youth who participate in programs and services funded by DCYF grants;This measure provides an estimate of the unduplicated number of disconnected transitional age youth who participate in programs and services funded by DCYF grants.;Sources of data include the DCYF Contract Management System and other administrative data sources pertaining to DCYF grants. This is the number of participants ages 18+ who participated in a DCYF-funded program for disconnected transitional age youth for at least one day. Participant ages are calculated as of the first date of participation.;Numeric;FY2022-23;2023;1900;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of meals served by DCYF to children and youth in afterschool and summer programs;This measure shows the number of meals served by DCYF to children and youth in afterschool and summer programs.;Source of data is DCYF administrative records. This is the number of lunches and suppers served to children and youth during afterschool and summer programs. A small number of youth go for second helpings -- these second helpings are counted in the total.;Numeric;FY2017-18;2018;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of meals served by DCYF to children and youth in afterschool and summer programs;This measure shows the number of meals served by DCYF to children and youth in afterschool and summer programs.;Source of data is DCYF administrative records. This is the number of lunches and suppers served to children and youth during afterschool and summer programs. A small number of youth go for second helpings -- these second helpings are counted in the total.;Numeric;FY2018-19;2019;252000;167474;252000;256179;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of meals served by DCYF to children and youth in afterschool and summer programs;This measure shows the number of meals served by DCYF to children and youth in afterschool and summer programs.;Source of data is DCYF administrative records. This is the number of lunches and suppers served to children and youth during afterschool and summer programs. A small number of youth go for second helpings -- these second helpings are counted in the total.;Numeric;FY2019-20;2020;252000;177643;252000;264376;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of meals served by DCYF to children and youth in afterschool and summer programs;This measure shows the number of meals served by DCYF to children and youth in afterschool and summer programs.;Source of data is DCYF administrative records. This is the number of lunches and suppers served to children and youth during afterschool and summer programs. A small number of youth go for second helpings -- these second helpings are counted in the total.;Numeric;FY2020-21;2021;252000;;290000;292361;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of meals served by DCYF to children and youth in afterschool and summer programs;This measure shows the number of meals served by DCYF to children and youth in afterschool and summer programs.;Source of data is DCYF administrative records. This is the number of lunches and suppers served to children and youth during afterschool and summer programs. A small number of youth go for second helpings -- these second helpings are counted in the total.;Numeric;FY2021-22;2022;252000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of meals served by DCYF to children and youth in afterschool and summer programs;This measure shows the number of meals served by DCYF to children and youth in afterschool and summer programs.;Source of data is DCYF administrative records. This is the number of lunches and suppers served to children and youth during afterschool and summer programs. A small number of youth go for second helpings -- these second helpings are counted in the total.;Numeric;FY2022-23;2023;252000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Arts & Creative Expression and Science, Technology, Engineering and Math (STEM) programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Arts & Creative Expression and STEM programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Arts & Creative Expression and Science, Technology, Engineering, and Math (STEM) strategies. Participants are counted if they have at least one day of participation.;Numeric;FY2017-18;2018;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Arts & Creative Expression and Science, Technology, Engineering and Math (STEM) programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Arts & Creative Expression and STEM programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Arts & Creative Expression and Science, Technology, Engineering, and Math (STEM) strategies. Participants are counted if they have at least one day of participation.;Numeric;FY2018-19;2019;6000;3300;6000;6263;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Arts & Creative Expression and Science, Technology, Engineering and Math (STEM) programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Arts & Creative Expression and STEM programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Arts & Creative Expression and Science, Technology, Engineering, and Math (STEM) strategies. Participants are counted if they have at least one day of participation.;Numeric;FY2019-20;2020;6000;4059;6000;6642;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Arts & Creative Expression and Science, Technology, Engineering and Math (STEM) programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Arts & Creative Expression and STEM programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Arts & Creative Expression and Science, Technology, Engineering, and Math (STEM) strategies. Participants are counted if they have at least one day of participation.;Numeric;FY2020-21;2021;6000;;;;This measure is N/A for the most recent reporting period because the grantees shifted the delivery of services as part of their response to COVID-19. For example, many shifted to implement Community Hubs in place of operating afterschool programs. As a result, it is not possible to show a deduplicated count of participants for several measures, but services were provided in online, virtual, and other alternative formats to reach target audiences.
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Arts & Creative Expression and Science, Technology, Engineering and Math (STEM) programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Arts & Creative Expression and STEM programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Arts & Creative Expression and Science, Technology, Engineering, and Math (STEM) strategies. Participants are counted if they have at least one day of participation.;Numeric;FY2021-22;2022;6000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Arts & Creative Expression and Science, Technology, Engineering and Math (STEM) programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Arts & Creative Expression and STEM programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Arts & Creative Expression and Science, Technology, Engineering, and Math (STEM) strategies. Participants are counted if they have at least one day of participation.;Numeric;FY2022-23;2023;6000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Educational Supports programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Educational Supports programs. These programs primarily serve students who are performing below grade level.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2017-18;2018;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Educational Supports programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Educational Supports programs. These programs primarily serve students who are performing below grade level.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2018-19;2019;4500;3407;4500;4450;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Educational Supports programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Educational Supports programs. These programs primarily serve students who are performing below grade level.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2019-20;2020;4500;3363;4500;3872;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Educational Supports programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Educational Supports programs. These programs primarily serve students who are performing below grade level.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2020-21;2021;4500;;;;This measure is N/A for the most recent reporting period because the grantees shifted the delivery of services as part of their response to COVID-19. For example, many shifted to implement Community Hubs in place of operating afterschool programs. As a result, it is not possible to show a deduplicated count of participants for several measures, but services were provided in online, virtual, and other alternative formats to reach target audiences.
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Educational Supports programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Educational Supports programs. These programs primarily serve students who are performing below grade level.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2021-22;2022;4500;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Educational Supports programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Educational Supports programs. These programs primarily serve students who are performing below grade level.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2022-23;2023;4500;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Identity Formation programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Identity Formation programs. These programs provide opportunities for youth to increase their self-esteem and sense of purposefully belonging by focusing on the resiliency, strength, and assets of their personal identity.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2017-18;2018;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Identity Formation programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Identity Formation programs. These programs provide opportunities for youth to increase their self-esteem and sense of purposefully belonging by focusing on the resiliency, strength, and assets of their personal identity.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2018-19;2019;1000;705;1000;1083;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Identity Formation programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Identity Formation programs. These programs provide opportunities for youth to increase their self-esteem and sense of purposefully belonging by focusing on the resiliency, strength, and assets of their personal identity.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2019-20;2020;1000;749;1000;940;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Identity Formation programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Identity Formation programs. These programs provide opportunities for youth to increase their self-esteem and sense of purposefully belonging by focusing on the resiliency, strength, and assets of their personal identity.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2020-21;2021;1000;;;;This measure is N/A for the most recent reporting period because the grantees shifted the delivery of services as part of their response to COVID-19. For example, many shifted to implement Community Hubs in place of operating afterschool programs. As a result, it is not possible to show a deduplicated count of participants for several measures, but services were provided in online, virtual, and other alternative formats to reach target audiences.
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Identity Formation programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Identity Formation programs. These programs provide opportunities for youth to increase their self-esteem and sense of purposefully belonging by focusing on the resiliency, strength, and assets of their personal identity.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2021-22;2022;1000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Identity Formation programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Identity Formation programs. These programs provide opportunities for youth to increase their self-esteem and sense of purposefully belonging by focusing on the resiliency, strength, and assets of their personal identity.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Educational Supports service area. Participants are counted if they have at least one day of participation.;Numeric;FY2022-23;2023;1000;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Mentorship programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Mentorship programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Mentorship service area. Participants are counted if they have at least one day of participation.;Numeric;FY2017-18;2018;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Mentorship programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Mentorship programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Mentorship service area. Participants are counted if they have at least one day of participation.;Numeric;FY2018-19;2019;135;152;150;233;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Mentorship programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Mentorship programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Mentorship service area. Participants are counted if they have at least one day of participation.;Numeric;FY2019-20;2020;450;587;600;846;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Mentorship programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Mentorship programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Mentorship service area. Participants are counted if they have at least one day of participation.;Numeric;FY2020-21;2021;600;;;;This measure is N/A for the most recent reporting period because the grantees shifted the delivery of services as part of their response to COVID-19. For example, many shifted to implement Community Hubs in place of operating afterschool programs. As a result, it is not possible to show a deduplicated count of participants for several measures, but services were provided in online, virtual, and other alternative formats to reach target audiences.
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Mentorship programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Mentorship programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Mentorship service area. Participants are counted if they have at least one day of participation.;Numeric;FY2021-22;2022;600;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Mentorship programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Mentorship programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Mentorship service area. Participants are counted if they have at least one day of participation.;Numeric;FY2022-23;2023;600;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Service Learning;;;;;;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Service Learning;;;;;;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Service Learning;;;;;;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Service Learning;;;;;;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Service Learning;;;;;;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Service Learning;;;;;;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Sports and Physical Activity programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Sports and Phyiscal Activity programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Sports and Physical Activity strategy. Participants are counted if they have at least one day of participation.;Numeric;FY2017-18;2018;;;;;
CHILDREN YOUTH & THEIR FAMILIES;Promote practice- and research-informed programs, seed innovation, and seek to address inequities in access and opportunity;Number of participants in DCYF-funded Sports and Physical Activity programs;This measure provides an estimate of the unduplicated number of participants in DCYF-funded Sports and Phyiscal Activity programs.;Source of data is the DCYF Contract Management System. This is the number of participants in programs that DCYF funds under its Sports and Physical Activity strategy. Participants are counted if they have at least one day of participation.;Numeric;FY2018-19;2019;2700;2375;2700;3352;
